Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2017 FC1),2017-Mar-22 20:44 ±,15.63/0.04016,15.58/0.04003,7.37,7.36,539.0,25.9,4,NEA
(2017 FJ3),2017-Mar-22 20:59 ±   00:03,2.57/0.00661,2.57/0.00660,2.26,2.07,701.0,29.9,1,NEA
(2017 FZ2),2017-Mar-23 20:42 ±,1.70/0.00437,1.70/0.00437,8.46,8.39,4350.0,26.7,2,NEA
(2016 RH40),2016-Sep-26 06:43 ±,18.76/0.04821,18.61/0.04783,9.35,9.34,238.0,24.4,5,NEA
(2016 SG),2016-Sep-27 04:34 ±,2.34/0.00602,2.34/0.00600,15.79,15.76,653.0,26.6,3,NEA
(2015 SO2),2016-Sep-30 00:22 ±,17.38/0.04465,17.38/0.04465,6.08,6.07,28700.0,23.9,15,NEA
(2009 UG),2016-Sep-30 05:32 ± 1_03:32,7.33/0.01884,4.81/0.01236,8.89,8.88,27100.0,23.2,13,NEA
462959 (2011 DU),2016-Oct-06 20:30 ±,15.16/0.03896,15.16/0.03896,8.72,8.71,172000.0,21.0,48,NEA
413260 (2003 TL4),2016-Oct-27 16:47 ±,10.06/0.02586,10.06/0.02586,10.35,10.34,3850000.0,19.4,44,NEA
164121 (2003 YT1),2016-Oct-31 09:25 ±,13.53/0.03477,13.53/0.03477,24.06,24.06,565000.0,16.2,85,NEA
(2002 UQ12),2016-Nov-07 06:01 ±,19.44/0.04996,19.44/0.04995,20.08,20.08,123000.0,22.2,10,NEA
433953 (1997 XR2),2016-Nov-18 15:05 ±,18.51/0.04756,18.51/0.04756,6.35,6.34,575000.0,20.9,42,NEA
(2008 UL90),2016-Dec-12 14:53 ±,15.23/0.03914,15.23/0.03914,13.15,13.15,169000.0,18.6,27,NEA
(2015 XX169),2016-Dec-13 20:23 ±,7.43/0.01909,7.20/0.01851,6.43,6.41,3890.0,27.4,4,NEA
(2006 XD2),2016-Dec-21 07:55 ±,18.86/0.04845,18.85/0.04844,13.59,13.58,515000.0,21.0,30,NEA
(2012 YK),2016-Dec-30 01:58 ±,16.87/0.04334,16.87/0.04334,10.51,10.5,435000.0,23.0,22,NEA
226514 (2003 UX34),2017-Jan-02 12:18 ±,19.03/0.04890,19.03/0.04890,20.65,20.65,277000.0,20.0,36,NEA
(2005 VL1),2017-Feb-04 09:20 ±   15:00,9.08/0.02334,3.52/0.00904,5.77,5.75,12000.0,27.0,12,NEA
(2015 BN509),2017-Feb-07 21:31 ±,16.21/0.04165,16.21/0.04165,19.37,19.37,380000.0,20.6,17,NEA
(2015 QR3),2017-Feb-12 11:42 ±   00:55,13.12/0.03371,12.65/0.03250,7.01,7.0,50000.0,25.7,5,NEA
(2016 CO246),2017-Feb-22 02:06 ±   00:11,15.32/0.03937,15.30/0.03933,5.42,5.41,77300.0,26.0,8,NEA
5604 (1992 FE),2017-Feb-24 10:03 ±,13.07/0.03360,13.07/0.03360,11.94,11.94,414000.0,17.1,98,NEA
(2012 DR32),2017-Mar-02 16:52 ±   04:08,2.67/0.00687,2.26/0.00580,16.72,16.7,13600.0,24.6,5,NEA
(1998 SL36),2017-Mar-16 13:37 ±   00:03,8.35/0.02146,8.33/0.02142,14.83,14.82,1970.0,20.3,12,NEA
(2012 EC),2017-May-16 12:19 ±   00:26,19.45/0.04998,19.29/0.04957,4.54,4.52,60800.0,23.4,29,NEA
418094 (2007 WV4),2017-Jun-01 12:09 ±,7.96/0.02045,7.96/0.02045,23.24,23.23,77800.0,19.3,31,NEA
(2010 VB1),2017-Jun-16 05:03 ±   00:50,10.17/0.02612,9.75/0.02506,8.33,8.32,94400.0,23.4,15,NEA
441987 (2010 NY65),2017-Jun-24 06:38 ±,7.89/0.02028,7.89/0.02028,12.68,12.67,9080000.0,21.5,66,NEA
3122 Florence,2017-Sep-01 12:06 ±,18.38/0.04724,18.38/0.04724,13.53,13.53,438000.0,14.1,355,NEA
(2016 DY30),2016-Feb-25 19:59 ±   00:02,0.04/9.6e-05,0.04/9.5e-05,17.35,15.67,245.0,30.5,2,NEA
(2016 AH164),2016-Jan-12 03:35 ±,0.07/0.00018,0.07/0.00018,8.63,6.67,1850.0,29.7,5,NEA
(2016 EF195),2016-Mar-11 04:35 ±   00:20,0.08/0.00021,0.08/0.00021,10.06,8.72,694.0,25.5,5,NEA
(2015 VY105),2015-Nov-15 02:40 ±,0.09/0.00023,0.09/0.00023,17.43,16.75,1240.0,29.0,6,NEA
(2016 AN164),2016-Jan-14 14:55 ±,0.10/0.00025,0.10/0.00025,13.18,12.34,1260.0,30.4,2,NEA
(2016 RB1),2016-Sep-07 17:20 ±,0.11/0.00027,0.11/0.00027,8.13,6.81,14500.0,27.8,12,NEA
(2016 GN134),2016-Apr-04 13:52 ±,0.15/0.00038,0.15/0.00038,13.9,13.39,1900.0,30.3,3,NEA
(2015 YJ),2015-Dec-13 21:19 ±   00:03,0.19/0.00048,0.18/0.00047,16.72,16.38,465.0,28.2,6,NEA
(2016 LP10),2016-Jun-09 18:32 ±,0.19/0.00048,0.19/0.00048,15.91,15.56,370.0,29.5,2,NEA
(2016 CM194),2016-Feb-13 07:48 ±,0.20/0.00052,0.20/0.00052,12.0,11.57,8530.0,27.7,4,NEA
(2016 QA2),2016-Aug-28 01:26 ±,0.23/0.00058,0.23/0.00058,10.27,9.81,79600.0,25.2,4,NEA
(2015 VU64),2015-Nov-06 23:09 ±,0.26/0.00067,0.26/0.00067,4.48,3.48,4660.0,30.6,3,NEA
(2016 AQ164),2016-Jan-10 14:15 ±,0.27/0.00070,0.27/0.00069,14.16,13.88,282.0,29.8,2,NEA
(2015 TC25),2015-Oct-13 07:32 ±,0.29/0.00074,0.29/0.00074,4.43,3.53,9870.0,29.5,10,NEA
(2016 DB),2016-Feb-15 04:50 ±,0.32/0.00083,0.32/0.00083,9.45,9.1,1720.0,28.5,2,NEA
(2016 RR1),2016-Sep-02 16:15 ±,0.34/0.00086,0.34/0.00086,7.22,6.78,1030.0,27.7,8,NEA
(2015 UM52),2015-Oct-22 19:19 ±,0.34/0.00087,0.34/0.00087,7.88,7.49,1840.0,27.8,5,NEA
(2016 LT1),2016-Jun-07 20:25 ±,0.38/0.00097,0.38/0.00097,7.48,7.1,10400.0,29.3,5,NEA
(2016 CG18),2016-Feb-06 13:30 ±,0.39/0.00101,0.39/0.00101,4.88,4.31,9040.0,28.5,8,NEA
(2016 EV28),2016-Mar-08 05:06 ±,0.40/0.00103,0.40/0.00103,25.64,25.53,6100.0,28.5,3,NEA
(2016 FC1),2016-Mar-14 14:27 ±,0.44/0.00112,0.43/0.00112,16.18,16.04,472.0,29.1,2,NEA
(2016 AN165),2016-Jan-13 14:44 ±,0.47/0.00120,0.47/0.00120,10.98,10.78,2820.0,27.7,4,NEA
(2016 RS1),2016-Sep-03 00:30 ±,0.50/0.00127,0.49/0.00127,7.11,6.81,388.0,29.1,1,NEA
(2016 GS134),2016-Apr-01 05:56 ±,0.52/0.00133,0.52/0.00133,11.24,11.06,1010.0,27.9,8,NEA
(2016 DA31),2016-Feb-29 15:57 ±,0.52/0.00133,0.51/0.00132,13.79,13.65,188.0,29.9,4,NEA
(2016 EK1),2016-Mar-03 18:06 ±,0.53/0.00135,0.53/0.00135,18.49,18.38,3150.0,29.1,2,NEA
(2016 JS5),2016-May-05 22:47 ±,0.53/0.00136,0.53/0.00135,16.08,15.96,6030.0,30.6,3,NEA
(2016 CW264),2016-Feb-10 11:38 ±,0.55/0.00141,0.54/0.00140,24.48,24.4,416.0,29.8,2,NEA
(2015 WP2),2015-Nov-20 01:43 ±,0.60/0.00154,0.60/0.00153,12.84,12.7,986.0,30.1,2,NEA
(2016 EL1),2016-Mar-04 11:54 ±,0.60/0.00154,0.60/0.00154,20.13,20.04,2670.0,27.8,2,NEA
(2016 NK22),2016-Jul-11 13:15 ±,0.69/0.00177,0.69/0.00177,7.12,6.9,2640.0,28.9,3,NEA
(2015 VP64),2015-Nov-05 09:15 ±,0.73/0.00187,0.73/0.00187,20.45,20.38,713.0,28.3,4,NEA
(2015 XY261),2015-Dec-15 13:52 ±,0.75/0.00193,0.75/0.00193,11.92,11.8,3130.0,27.2,5,NEA
(2016 FW13),2016-Apr-05 02:21 ±,0.82/0.00210,0.82/0.00210,10.46,10.34,1150.0,29.4,5,NEA
(2016 DK2),2016-Feb-26 07:19 ±,0.83/0.00212,0.82/0.00212,18.74,18.67,812.0,29.1,2,NEA
(2016 EN157),2016-Mar-10 02:47 ±,0.84/0.00216,0.84/0.00215,12.56,12.47,706.0,28.0,2,NEA
(2016 GO206),2016-Apr-06 20:02 ±   00:02,0.86/0.00220,0.85/0.00220,22.54,22.48,1320.0,26.5,4,NEA
(2016 GO134),2016-Apr-08 19:34 ±,0.86/0.00222,0.86/0.00221,15.26,15.18,904.0,27.3,2,NEA
(2016 FZ13),2016-Mar-23 03:54 ±   00:01,0.98/0.00252,0.98/0.00251,4.5,4.26,824.0,28.3,5,NEA
(2016 FN56),2016-Mar-21 08:33 ±   00:21,1.00/0.00257,0.92/0.00236,24.65,24.61,107.0,24.2,2,NEA
(2015 TQ21),2015-Oct-07 00:49 ±,1.01/0.00259,1.00/0.00258,19.97,19.92,1020.0,27.4,6,NEA
(2015 VO142),2015-Nov-24 02:23 ±,1.02/0.00262,1.02/0.00262,3.12,2.78,5710.0,29.0,12,NEA
(2016 DV1),2016-Mar-03 05:17 ±,1.03/0.00264,1.03/0.00264,18.07,18.02,19000.0,24.9,20,NEA
(2016 EG1),2016-Mar-05 01:24 ±,1.14/0.00293,1.14/0.00293,12.36,12.29,1250.0,29.1,4,NEA
(2016 FB13),2016-Apr-03 01:34 ±,1.23/0.00317,1.23/0.00317,18.06,18.01,3070.0,26.7,6,NEA
(2015 TB145),2015-Oct-31 17:01 ±,1.27/0.00325,1.27/0.00325,34.95,34.92,2840000.0,20.0,58,NEA
(2015 SZ2),2015-Sep-30 07:54 ±,1.32/0.00338,1.32/0.00338,6.14,6.01,586000.0,25.4,20,NEA
(2016 JB18),2016-Apr-13 03:23 ±   00:14,1.32/0.00338,1.31/0.00337,3.45,3.22,947.0,27.4,12,NEA
(2015 XR169),2015-Dec-13 16:35 ±,1.32/0.00339,1.32/0.00338,9.51,9.43,1040.0,28.7,6,NEA
(2016 SF1),2016-Sep-10 14:43 ±   00:22,1.32/0.00340,1.29/0.00330,8.59,8.5,63.2,24.7,1,NEA
(2016 RK40),2016-Sep-07 23:01 ±   00:01,1.35/0.00346,1.34/0.00344,14.68,14.63,305.0,27.4,1,NEA
(2016 EM156),2016-Mar-16 06:24 ±,1.38/0.00355,1.38/0.00355,9.0,8.91,7400.0,27.9,10,NEA
(2016 EU84),2016-Mar-08 08:35 ±,1.39/0.00357,1.39/0.00357,2.67,2.37,7000.0,29.0,8,NEA
(2016 EO28),2016-Feb-29 03:57 ±,1.40/0.00360,1.40/0.00359,7.2,7.1,849.0,29.2,11,NEA
(2016 EW85),2016-Mar-16 13:10 ±,1.43/0.00367,1.43/0.00367,12.96,12.9,1860.0,27.6,6,NEA
(2016 AN66),2015-Dec-31 17:22 ±   00:05,1.45/0.00372,1.44/0.00371,5.44,5.31,655.0,27.3,7,NEA
(2015 YQ1),2015-Dec-22 02:06 ±,1.45/0.00372,1.45/0.00372,12.38,12.32,1980.0,28.0,7,NEA
(2015 XP),2015-Dec-05 13:44 ±,1.45/0.00372,1.45/0.00372,8.14,8.05,2090.0,25.8,5,NEA
(2015 YA),2015-Dec-15 04:49 ±,1.50/0.00385,1.50/0.00384,8.77,8.69,1080.0,27.4,6,NEA
(2016 CH30),2016-Feb-07 22:32 ±,1.50/0.00386,1.50/0.00386,5.56,5.43,2200.0,28.0,3,NEA
(2016 EN156),2016-Mar-19 09:10 ±,1.57/0.00402,1.56/0.00402,7.86,7.78,2250.0,27.8,8,NEA
(2015 WZ1),2015-Nov-22 17:59 ±,1.59/0.00408,1.58/0.00407,16.5,16.46,1450.0,29.6,3,NEA
(2016 JD18),2016-May-16 23:25 ±,1.63/0.00418,1.63/0.00418,14.86,14.82,59400.0,24.7,23,NEA
(2015 VN64),2015-Nov-03 17:41 ±,1.64/0.00422,1.63/0.00420,15.82,15.78,413.0,27.5,5,NEA
(2016 CN31),2016-Jan-30 03:21 ±   00:02,1.70/0.00437,1.69/0.00433,14.15,14.11,245.0,27.3,2,NEA
(2016 CE),2016-Feb-04 23:27 ±,1.74/0.00448,1.74/0.00447,8.18,8.11,3400.0,28.5,3,NEA
(2016 CL137),2016-Feb-05 15:33 ±   00:01,1.81/0.00464,1.80/0.00463,21.37,21.34,764.0,25.8,3,NEA
(2016 FV13),2016-Apr-11 00:13 ±,1.81/0.00465,1.81/0.00465,10.96,10.91,2950.0,26.0,10,NEA
(2016 LY10),2016-Jun-10 02:55 ±,1.81/0.00466,1.81/0.00466,6.94,6.86,1900.0,28.5,2,NEA
(2016 DN2),2016-Mar-05 13:48 ±,1.82/0.00468,1.82/0.00467,8.99,8.92,3040.0,26.9,7,NEA
(2015 WJ2),2015-Nov-17 13:19 ±   00:03,1.82/0.00468,1.80/0.00462,19.71,19.68,184.0,26.0,2,NEA
(2015 VK1),2015-Oct-31 05:36 ±,1.84/0.00472,1.83/0.00471,14.63,14.59,920.0,26.6,10,NEA
(2016 EG28),2016-Mar-03 14:56 ±,1.85/0.00476,1.85/0.00476,14.78,14.75,1470.0,28.0,10,NEA
(2016 CO248),2016-Feb-09 11:56 ±,1.86/0.00479,1.86/0.00478,4.94,4.83,963.0,27.5,8,NEA
(2015 YM1),2015-Dec-15 22:29 ±,1.95/0.00500,1.94/0.00499,6.9,6.82,1330.0,28.4,7,NEA
(2016 CN248),2016-Feb-14 01:11 ±,1.97/0.00507,1.97/0.00506,13.45,13.41,1650.0,27.3,2,NEA
(2016 CC136),2016-Feb-09 10:04 ±,2.07/0.00532,2.07/0.00532,6.48,6.41,6440.0,28.8,4,NEA
(2015 VL64),2015-Nov-03 14:48 ±,2.12/0.00545,2.12/0.00544,8.58,8.52,726.0,28.3,4,NEA
(2016 CU246),2016-Feb-12 08:08 ±,2.15/0.00553,2.15/0.00552,15.81,15.77,1270.0,26.5,7,NEA
(2016 AM2),2015-Dec-27 19:39 ±   00:07,2.21/0.00567,2.20/0.00564,11.99,11.95,375.0,26.9,2,NEA
(2015 XT378),2015-Dec-10 11:59 ±,2.25/0.00578,2.23/0.00574,7.56,7.5,241.0,27.9,2,NEA
(2016 RO17),2016-Sep-08 03:37 ±,2.29/0.00590,2.29/0.00589,16.01,15.98,1790.0,26.4,1,NEA
(2016 EM157),2016-Mar-10 10:17 ±,2.30/0.00592,2.30/0.00590,8.72,8.67,551.0,26.9,4,NEA
(2015 TN21),2015-Oct-10 22:17 ±,2.32/0.00597,2.32/0.00596,13.06,13.02,2160.0,27.2,5,NEA
(2016 CH137),2016-Feb-07 20:39 ±,2.35/0.00604,2.35/0.00603,26.38,26.36,1800.0,25.8,6,NEA
(2016 CA29),2016-Feb-07 05:22 ±,2.39/0.00613,2.38/0.00612,6.88,6.82,2110.0,28.7,7,NEA
(2015 XX128),2015-Dec-14 00:13 ±,2.40/0.00616,2.40/0.00616,3.69,3.57,38800.0,26.0,9,NEA
(2015 XN55),2015-Dec-15 05:33 ±,2.46/0.00632,2.46/0.00632,6.22,6.15,4320.0,27.2,20,NEA
(2015 VY),2015-Nov-06 10:39 ±,2.49/0.00641,2.49/0.00640,9.81,9.77,3510.0,26.2,6,NEA
(2016 DE1),2016-Feb-25 04:19 ±,2.51/0.00645,2.51/0.00644,19.56,19.54,2150.0,25.3,5,NEA
(2016 CJ31),2016-Jan-29 17:32 ±,2.51/0.00645,2.49/0.00640,13.28,13.25,290.0,27.6,2,NEA
(2016 JA6),2016-May-02 03:45 ±,2.52/0.00648,2.52/0.00648,11.23,11.19,2980.0,26.4,15,NEA
(2015 VP105),2015-Nov-11 05:25 ±,2.54/0.00653,2.54/0.00652,18.02,18.0,2740.0,25.6,3,NEA
(2016 CD30),2016-Feb-01 06:48 ±,2.56/0.00658,2.55/0.00655,10.7,10.66,397.0,27.8,7,NEA
(2016 RD34),2016-Sep-07 14:31 ±   00:06,2.56/0.00659,2.56/0.00658,1.44,1.12,1740.0,27.2,5,NEA
(2015 XN261),2015-Dec-23 12:37 ±,2.64/0.00678,2.64/0.00678,4.95,4.87,3600.0,26.2,17,NEA
(2016 FZ12),2016-Mar-18 18:52 ±   00:06,2.65/0.00680,2.63/0.00676,8.22,8.18,336.0,26.7,3,NEA
(2016 FC),2016-Mar-12 20:59 ±,2.81/0.00723,2.81/0.00722,5.7,5.64,7560.0,26.6,19,NEA
(2016 BA15),2016-Feb-01 07:58 ±,2.87/0.00738,2.87/0.00737,15.85,15.83,1740.0,26.8,4,NEA
(2016 JA),2016-Apr-24 22:35 ±,2.89/0.00741,2.88/0.00740,7.41,7.36,1080.0,27.5,13,NEA
(2016 AF2),2015-Dec-26 05:41 ±,2.91/0.00747,2.90/0.00745,5.93,5.87,591.0,27.9,6,NEA
(2015 XH55),2015-Nov-29 02:37 ±,2.95/0.00758,2.94/0.00756,7.11,7.07,619.0,29.3,2,NEA
(2016 CB248),2016-Feb-13 13:42 ±,3.03/0.00780,3.03/0.00779,11.26,11.23,1420.0,26.7,9,NEA
(2015 VR64),2015-Nov-12 20:12 ±,3.04/0.00781,3.04/0.00781,7.45,7.41,3340.0,27.4,9,NEA
(2016 GK2),2016-Mar-27 01:34 ±,3.07/0.00788,3.06/0.00786,9.38,9.35,727.0,27.8,7,NEA
(2016 ES85),2016-Mar-16 08:16 ±,3.07/0.00789,3.07/0.00788,3.23,3.12,1570.0,29.7,6,NEA
(2016 SC),2016-Sep-25 10:57 ±,3.09/0.00793,3.08/0.00792,5.35,5.29,1380.0,27.8,2,NEA
(2016 ET1),2016-Feb-29 00:51 ±,3.11/0.00799,3.10/0.00797,5.5,5.44,731.0,28.9,3,NEA
(2016 GX220),2016-Apr-12 07:19 ±,3.15/0.00808,3.14/0.00808,4.42,4.34,2880.0,28.7,3,NEA
(2016 AB166),2016-Jan-12 00:30 ±,3.21/0.00826,3.21/0.00826,21.73,21.72,8770.0,24.4,9,NEA
(2016 NC56),2016-Jul-06 06:50 ±   00:01,3.29/0.00845,3.28/0.00842,14.64,14.62,660.0,27.1,1,NEA
(2016 BY),2016-Jan-21 14:49 ±,3.33/0.00855,3.32/0.00853,17.32,17.3,1380.0,26.1,5,NEA
(2015 XC),2015-Dec-08 10:20 ±,3.34/0.00859,3.34/0.00859,8.16,8.12,881000.0,25.2,16,NEA
(2016 GS2),2016-May-18 02:03 ±,3.40/0.00875,3.40/0.00874,8.01,7.98,648000.0,23.0,43,NEA
(2015 VC1),2015-Oct-22 21:26 ±   00:01,3.41/0.00876,3.40/0.00874,4.3,4.23,540.0,27.2,7,NEA
(2016 CD31),2016-Feb-12 07:17 ±,3.42/0.00878,3.41/0.00877,14.36,14.34,2020.0,26.9,7,NEA
(2016 EO156),2016-Mar-19 02:10 ±,3.55/0.00912,3.54/0.00911,5.87,5.82,858.0,28.9,6,NEA
(2015 WV12),2015-Nov-28 08:57 ±,3.56/0.00915,3.56/0.00914,8.65,8.62,1800.0,26.9,7,NEA
(2016 NL39),2016-Jul-06 21:28 ±,3.61/0.00927,3.60/0.00926,4.28,4.22,2470.0,27.6,19,NEA
(2016 RY17),2016-Sep-09 18:01 ±,3.62/0.00930,3.62/0.00929,11.14,11.12,1550.0,25.4,1,NEA
(2016 CK31),2016-Feb-09 14:43 ±,3.64/0.00936,3.64/0.00935,7.41,7.37,3010.0,27.1,6,NEA
(2016 CE31),2016-Jan-31 09:51 ±,3.73/0.00960,3.73/0.00958,7.38,7.34,1170.0,27.6,8,NEA
(2014 UR),2015-Oct-18 09:03 ±,3.81/0.00980,3.81/0.00980,4.4,4.34,3540000.0,26.6,24,NEA
(2015 VK64),2015-Nov-03 19:28 ±   00:01,3.84/0.00986,3.83/0.00984,11.26,11.24,1090.0,27.4,2,NEA
(2015 XG352),2015-Dec-01 14:50 ±,3.85/0.00988,3.83/0.00985,14.32,14.3,674.0,25.5,3,NEA
(2016 JX24),2016-May-04 00:09 ±,3.91/0.01005,3.90/0.01003,6.02,5.97,620.0,25.5,6,NEA
(2016 CK137),2016-Feb-02 09:42 ±,3.92/0.01006,3.89/0.00999,10.16,10.13,268.0,27.4,4,NEA
(2015 YC1),2015-Dec-22 12:35 ±,3.92/0.01008,3.92/0.01006,8.06,8.02,1310.0,26.1,7,NEA
(2016 ED1),2016-Mar-01 14:05 ±,3.97/0.01021,3.97/0.01019,9.24,9.21,1230.0,25.8,4,NEA
(2015 TG24),2015-Oct-12 08:06 ±,3.99/0.01026,3.99/0.01025,9.62,9.59,2460.0,26.7,6,NEA
(2015 XD169),2015-Dec-06 02:29 ±,4.06/0.01042,4.05/0.01042,3.85,3.78,2600.0,26.9,14,NEA
(2016 JB),2016-May-04 10:29 ±,4.09/0.01052,4.09/0.01051,5.78,5.74,3570.0,27.0,12,NEA
(2016 EJ85),2016-Mar-06 01:03 ±,4.10/0.01053,4.09/0.01052,7.45,7.42,1810.0,25.7,11,NEA
(2016 BF1),2016-Jan-12 13:56 ±,4.15/0.01067,4.13/0.01062,8.21,8.18,348.0,25.4,5,NEA
(2015 TZ143),2015-Oct-22 05:43 ±,4.20/0.01080,4.20/0.01078,10.25,10.23,1330.0,26.3,9,NEA
(2016 CH29),2016-Jan-29 15:04 ±,4.24/0.01090,4.23/0.01086,15.19,15.17,651.0,26.2,3,NEA
(2015 TM145),2015-Oct-07 11:47 ±,4.26/0.01095,4.22/0.01085,21.57,21.56,285.0,24.7,5,NEA
(2016 AV64),2016-Jan-01 18:58 ±,4.33/0.01113,4.29/0.01101,14.63,14.62,215.0,27.0,2,NEA
(2015 UR67),2015-Oct-27 10:10 ±,4.37/0.01123,4.36/0.01121,12.27,12.25,1150.0,26.3,14,NEA
(2016 GD207),2016-Apr-22 10:28 ±,4.43/0.01139,4.42/0.01136,6.33,6.29,647.0,25.9,9,NEA
(2016 FG39),2016-Apr-10 08:22 ±,4.44/0.01141,4.42/0.01136,7.65,7.62,461.0,26.8,5,NEA
(2016 EK85),2016-Mar-03 10:19 ±,4.46/0.01147,4.46/0.01145,17.03,17.02,1640.0,25.9,10,NEA
(2015 XG55),2015-Nov-30 10:08 ±,4.51/0.01158,4.48/0.01152,17.67,17.66,509.0,27.7,2,NEA
(2016 EL157),2016-Mar-18 11:51 ±,4.54/0.01167,4.54/0.01165,11.51,11.49,1380.0,27.1,8,NEA
(2016 GF2),2016-Apr-08 03:22 ±,4.61/0.01185,4.59/0.01179,13.03,13.02,392.0,26.6,5,NEA
(2016 HF2),2016-Apr-21 14:27 ±,4.62/0.01188,4.62/0.01186,6.24,6.21,1290.0,26.2,12,NEA
(2016 DX30),2016-Feb-09 07:51 ±,4.63/0.01191,4.61/0.01186,10.64,10.62,429.0,26.5,2,NEA
(2016 DL1),2016-Mar-01 18:22 ±,4.68/0.01202,4.68/0.01201,8.61,8.59,3150.0,26.8,6,NEA
(2015 TK21),2015-Oct-12 07:02 ±,4.77/0.01227,4.77/0.01225,10.38,10.36,1010.0,26.4,8,NEA
(2016 CK248),2016-Feb-24 09:29 ±,4.81/0.01237,4.80/0.01233,9.78,9.76,564.0,26.8,4,NEA
(2015 WN1),2015-Nov-13 18:51 ±,4.83/0.01242,4.82/0.01238,9.28,9.26,662.0,26.5,7,NEA
(2016 CW30),2016-Feb-12 15:35 ±,4.89/0.01257,4.88/0.01253,12.2,12.18,665.0,26.7,6,NEA
(2015 YC2),2016-Jan-15 07:21 ±,4.93/0.01266,4.92/0.01264,15.43,15.42,2370.0,23.3,20,NEA
(2008 HU4),2016-Apr-16 09:31 ±,4.94/0.01269,4.94/0.01269,1.44,1.28,275000.0,28.2,23,NEA
(2016 BV),2016-Jan-13 07:52 ±,5.00/0.01285,4.94/0.01270,10.29,10.27,168.0,26.0,3,NEA
(2016 CS247),2016-Feb-09 02:16 ±,5.02/0.01291,5.02/0.01290,3.98,3.93,4440.0,25.5,18,NEA
(2015 XP169),2015-Dec-05 02:31 ±,5.03/0.01292,5.01/0.01286,10.47,10.45,424.0,26.1,6,NEA
(2015 YH),2015-Dec-10 22:39 ±   00:02,5.03/0.01294,4.96/0.01274,6.91,6.88,115.0,27.9,2,NEA
(2015 XC352),2015-Dec-30 19:01 ±,5.18/0.01332,5.18/0.01332,4.6,4.55,343000.0,25.7,18,NEA
(2015 VU65),2015-Nov-14 22:04 ±,5.23/0.01343,5.21/0.01339,13.36,13.34,793.0,26.4,10,NEA
(2015 XV351),2015-Dec-29 01:12 ±   00:02,5.36/0.01377,5.34/0.01372,6.21,6.18,4260.0,26.0,5,NEA
(2016 FX13),2016-Mar-16 18:38 ±   00:25,5.40/0.01386,5.06/0.01301,14.43,14.41,84.0,26.7,3,NEA
(2016 EB1),2016-Mar-10 06:16 ±,5.40/0.01389,5.40/0.01387,14.47,14.46,2010.0,25.4,9,NEA
(2015 UK),2015-Oct-10 09:33 ±   00:03,5.45/0.01400,5.39/0.01384,9.93,9.91,173.0,26.4,2,NEA
(2015 VM64),2015-Nov-10 21:57 ±,5.46/0.01403,5.45/0.01401,18.64,18.63,1480.0,26.1,8,NEA
(2016 JU5),2016-Apr-28 12:36 ±   00:02,5.50/0.01414,5.32/0.01366,18.8,18.79,69.4,26.2,2,NEA
(2015 YE1),2015-Dec-22 11:29 ±,5.52/0.01419,5.51/0.01417,10.3,10.28,1220.0,27.4,9,NEA
(2015 VN105),2015-Nov-16 09:23 ±,5.54/0.01423,5.52/0.01419,11.01,10.99,662.0,27.6,6,NEA
(2015 YT),2015-Dec-10 07:38 ±   00:03,5.57/0.01431,5.54/0.01424,8.32,8.3,352.0,25.8,3,NEA
(2016 CZ247),2016-Feb-10 06:51 ±   00:02,5.58/0.01434,5.52/0.01418,11.69,11.67,183.0,26.9,3,NEA
(2016 GW220),2016-Apr-10 23:41 ±,5.66/0.01455,5.65/0.01452,13.24,13.22,1300.0,26.6,6,NEA
(2016 BN14),2016-Jan-24 05:52 ±   00:04,5.67/0.01458,5.63/0.01447,22.42,22.41,381.0,26.5,2,NEA
(2015 WB1),2015-Nov-15 20:50 ±,5.74/0.01476,5.73/0.01473,15.31,15.29,1510.0,23.5,15,NEA
(2016 ES155),2016-Mar-17 16:17 ±,5.75/0.01476,5.72/0.01471,21.47,21.46,662.0,24.3,7,NEA
(2015 TA238),2015-Oct-13 05:28 ±,5.78/0.01485,5.77/0.01482,8.62,8.6,881.0,26.2,3,NEA
(2016 DB1),2016-Feb-26 04:01 ±,5.78/0.01485,5.78/0.01484,7.87,7.84,2640.0,26.5,6,NEA
(2015 VC2),2016-Jan-28 12:59 ±,5.80/0.01491,5.80/0.01491,1.16,0.99,253000.0,27.4,33,NEA
(2016 BU),2016-Jan-23 19:26 ±,5.82/0.01496,5.80/0.01491,6.26,6.23,518.0,26.7,4,NEA
(2016 FY12),2016-Apr-17 19:16 ±,5.85/0.01503,5.84/0.01500,13.29,13.27,1040.0,26.3,7,NEA
(2016 BE),2016-Feb-01 00:26 ±,5.86/0.01505,5.86/0.01505,9.4,9.38,67500.0,23.7,19,NEA
(2016 LR),2016-Jun-09 02:29 ±,5.89/0.01512,5.87/0.01508,12.31,12.3,677.0,26.3,6,NEA
(2015 VH65),2015-Nov-11 10:02 ±,5.89/0.01514,5.88/0.01512,8.17,8.14,1340.0,27.7,5,NEA
(2015 TL21),2015-Oct-06 02:42 ±,5.90/0.01517,5.90/0.01515,15.49,15.48,1490.0,26.6,13,NEA
