Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2017 BE30),2017-Jan-20 08:45 ±,5.65/0.01451,5.63/0.01446,16.43,16.42,685.0,26.1,8,NEA
(2017 BQ30),2017-Jan-21 03:10 ±,7.34/0.01885,7.31/0.01879,10.57,10.55,667.0,25.4,5,NEA
(2017 BS5),2017-Jan-21 10:15 ±,6.55/0.01682,6.54/0.01681,5.95,5.92,2720.0,24.1,5,NEA
(2017 BR5),2017-Jan-22 05:28 ±,2.11/0.00542,2.10/0.00540,10.36,10.32,416.0,27.6,1,NEA
(2017 BK),2017-Jan-22 09:29 ±,15.24/0.03915,15.20/0.03905,8.92,8.91,708.0,24.0,7,NEA
(2017 BR6),2017-Jan-23 09:10 ±,4.78/0.01228,4.77/0.01225,9.76,9.74,787.0,27.9,2,NEA
(2017 BN6),2017-Jan-23 14:09 ±,1.66/0.00426,1.65/0.00423,13.97,13.93,371.0,27.4,3,NEA
(2017 BD6),2017-Jan-24 09:59 ±,1.98/0.00509,1.98/0.00508,9.27,9.21,1150.0,28.4,8,NEA
(2017 BZ6),2017-Jan-24 14:22 ±,15.77/0.04051,15.75/0.04046,3.4,3.38,1380.0,26.1,11,NEA
(2017 CO),2017-Jan-25 01:52 ±   00:03,16.70/0.04291,16.61/0.04268,3.87,3.85,304.0,26.1,4,NEA
(2017 BX),2017-Jan-25 04:54 ±,0.69/0.00178,0.69/0.00178,7.43,7.23,5700.0,28.0,6,NEA
(2017 CP),2017-Jan-25 14:27 ±   00:01,8.17/0.02099,8.11/0.02084,6.0,5.98,234.0,27.1,1,NEA
(2017 BA6),2017-Jan-25 16:18 ±,13.50/0.03470,13.42/0.03448,15.11,15.1,351.0,26.3,1,NEA
(2017 BM30),2017-Jan-25 19:06 ±,4.69/0.01205,4.68/0.01202,16.95,16.93,704.0,26.5,5,NEA
(2017 BA7),2017-Jan-26 01:37 ±,1.12/0.00287,1.12/0.00287,18.98,18.93,1930.0,28.1,4,NEA
(2017 AK3),2017-Jan-26 05:22 ±,11.26/0.02893,11.26/0.02892,10.71,10.7,4600.0,24.6,11,NEA
(2016 YP4),2017-Jan-26 06:25 ±,12.65/0.03250,12.65/0.03249,2.33,2.3,9360.0,27.0,13,NEA
(2017 BR32),2017-Jan-27 17:41 ±,7.70/0.01979,7.68/0.01974,8.1,8.09,875.0,26.7,3,NEA
(2017 BH30),2017-Jan-30 04:51 ±,0.13/0.00035,0.13/0.00035,15.46,14.96,7200.0,28.8,5,NEA
(2017 BN30),2017-Jan-31 00:50 ±,10.22/0.02626,10.19/0.02618,7.99,7.98,624.0,25.7,4,NEA
(2017 BJ30),2017-Jan-31 02:36 ±,1.03/0.00264,1.03/0.00263,5.89,5.72,3550.0,26.7,3,NEA
(2017 BY5),2017-Jan-31 08:59 ±,10.42/0.02677,10.39/0.02669,9.48,9.47,608.0,26.0,2,NEA
(2017 CR1),2017-Jan-31 14:00 ±,8.70/0.02236,8.67/0.02228,5.49,5.47,454.0,27.8,1,NEA
(2017 BT6),2017-Jan-31 17:48 ±,13.12/0.03370,13.06/0.03357,12.28,12.28,514.0,24.8,1,NEA
(2017 BB7),2017-Jan-31 17:54 ±,2.97/0.00764,2.96/0.00761,7.18,7.13,441.0,27.9,3,NEA
(2017 CM1),2017-Jan-31 21:57 ±,18.95/0.04869,18.89/0.04853,6.39,6.38,533.0,25.8,4,NEA
(2017 BN92),2017-Feb-01 15:23 ±,4.84/0.01244,4.84/0.01243,6.3,6.27,1760.0,25.6,7,NEA
(2017 BF136),2017-Feb-02 02:45 ±,7.86/0.02020,7.75/0.01992,20.73,20.72,173.0,26.1,1,NEA
(2017 BB6),2017-Feb-02 04:43 ±,5.57/0.01432,5.54/0.01423,9.81,9.79,287.0,27.1,3,NEA
(2017 BQ32),2017-Feb-02 08:32 ±,10.32/0.02651,10.28/0.02641,7.46,7.45,452.0,26.8,3,NEA
(2017 CY32),2017-Feb-02 13:59 ±   00:06,1.63/0.00419,1.58/0.00406,17.68,17.64,65.8,28.5,1,NEA
(2017 BS32),2017-Feb-02 20:24 ±,0.42/0.00109,0.42/0.00109,11.57,11.36,4300.0,27.3,7,NEA
(2017 CT),2017-Feb-03 00:04 ±   00:04,11.03/0.02834,10.93/0.02810,10.56,10.55,227.0,26.8,1,NEA
(2005 VL1),2017-Feb-03 14:41 ±,11.41/0.02932,11.41/0.02932,5.59,5.57,270000.0,26.6,17,NEA
(2017 CX1),2017-Feb-04 14:41 ±,3.57/0.00916,3.56/0.00915,4.27,4.2,1710.0,28.2,2,NEA
(2017 BG30),2017-Feb-05 13:25 ±,2.48/0.00637,2.47/0.00636,3.3,3.17,915.0,29.4,5,NEA
(2013 FK),2017-Feb-05 17:32 ±,7.10/0.01824,7.10/0.01824,8.72,8.7,15200000.0,23.3,26,NEA
(2017 BK30),2017-Feb-05 21:51 ±,8.64/0.02220,8.62/0.02216,10.4,10.39,902.0,27.3,10,NEA
(2017 BZ93),2017-Feb-05 23:35 ±,12.65/0.03249,12.55/0.03226,24.59,24.59,353.0,24.9,2,NEA
(2017 CR),2017-Feb-06 03:48 ±,4.27/0.01098,4.24/0.01090,17.22,17.21,306.0,26.5,2,NEA
(2017 CR5),2017-Feb-06 08:17 ±,8.27/0.02125,8.18/0.02102,7.05,7.03,157.0,26.9,1,NEA
(2017 BV93),2017-Feb-07 04:34 ±   00:02,16.04/0.04122,15.96/0.04101,4.2,4.19,301.0,24.9,5,NEA
(2017 BQ6),2017-Feb-07 06:36 ±,6.56/0.01686,6.56/0.01686,11.2,11.19,562000.0,21.4,21,NEA
(2017 CX31),2017-Feb-07 08:46 ±,3.02/0.00777,3.02/0.00777,9.18,9.14,2270.0,25.1,2,NEA
(2017 BU),2017-Feb-07 11:35 ±,15.25/0.03918,15.21/0.03909,6.97,6.96,798.0,25.1,11,NEA
(2015 BN509),2017-Feb-07 21:31 ±,16.21/0.04165,16.21/0.04165,19.37,19.37,8660000.0,20.7,45,NEA
(2016 YJ4),2017-Feb-08 18:52 ±,17.36/0.04461,17.34/0.04457,9.91,9.9,2300.0,23.3,7,NEA
(2017 BM93),2017-Feb-08 20:37 ±,3.36/0.00863,3.34/0.00859,10.67,10.64,379.0,26.5,4,NEA
(2017 BM3),2017-Feb-08 23:37 ±,12.54/0.03223,12.54/0.03221,8.52,8.51,2690.0,23.0,14,NEA
(2017 BP30),2017-Feb-09 02:30 ±,14.68/0.03772,14.63/0.03758,7.14,7.13,486.0,26.0,5,NEA
(2017 CF32),2017-Feb-10 05:43 ±,2.57/0.00659,2.56/0.00659,4.04,3.94,2460.0,26.1,12,NEA
(2017 DX34),2017-Feb-10 08:32 ±,5.06/0.01299,5.05/0.01297,5.55,5.51,1810.0,25.2,7,NEA
