recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn, , ,"""Y:M:D""", ,deg,deg,arcsec,deg,arcsec,mag, ,arcsec, , ,s,deg,deg,arcsec,arcsec,arcsec,deg,mag
82,2009WF106,23-06-2016,08-11-2018,351.7100848,-55.80764148,4.21327599,113.3858266,0.33854499,22.41683463,2.329187729,0.795081685,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,351.7102292,-55.80756944,1.497,1.01,7.289225346,91.699,21.494,3.149764832,,,,,,,,,,,,,,,,,,,,,,
83,2009WF106,23-06-2016,8-25-32,351.7085515,-55.81481126,5.58218178,101.1449844,0.84981624,22.30228542,1.933887881,0.80319421,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,351.708625,-55.81459722,1.497,1.01,7.256742023,91.699,21.494,3.131908084,,,,,,,,,,,,,,,,,,,,,,
84,2009WF106,23-06-2016,8-35-03,351.7075363,-55.81951274,7.41445971,91.18457152,0.3985296,21.2378491,4.063857871,0.767029988,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,351.7075625,-55.81926389,1.497,1.01,7.289225346,91.699,21.494,3.264957521,,,,,,,,,,,,,,,,,,,,,,
85,2017FP101,12-09-2016,8-55-41,4.582323699,-29.51096507,5.01758964,6.15138948,0.81741849,21.96543122,9.92032352,1.137042086,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,4.5750625,-29.51481944,83.228,45.258,6.170312727,175.562,21.921,8.404033342,,,,,,,,,,,,,,,,,,,,,,
86,2017FP101,12-09-2016,09-03-2010,4.578323545,-29.51069247,5.00958675,4.936317884,1.52690874,21.81351804,13.23799477,0.981609343,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,4.5708125,-29.51445833,83.24,45.255,6.170312727,175.553,21.921,9.734768395,,,,,,,,,,,,,,,,,,,,,,
87,2016RA1  ,30-09-2016,5-14-03,31.72742145,-32.64957422,4.09262826,47.23383849,0.68454498,21.83742227,14.77804167,1.052887353,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,31.72997917,-32.65040278,5.661,4.751,4.253548947,97.184,23.42,3.310082395,,,,,,,,,,,,,,,,,,,,,,
88,2016RA1  ,30-09-2016,5-17-47,31.72743787,-32.64949299,4.31248797,42.44356755,0.59908149,21.65428396,16.4874064,1.060171638,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,31.73141667,-32.65084722,5.668,4.752,4.396610587,97.19,23.42,3.180371812,,,,,,,,,,,,,,,,,,,,,,
89,2017UE6  ,16-11-2017,3-15-42,24.33508748,-32.42496285,9.56251716,114.8771212,0.39521979,22.75506152,3.10821716,0.920156746,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,24.33883333,-32.41459722,36.512,124.898,8.681610716,140.296,22.718,3.542492443,,,,,,,,,,,,,,,,,,,,,,
90,2017YF1  ,29-11-2017,4-50-12,100.2811967,9.480438301,7.15107351,96.89186141,2.02126554,20.78241431,20.20587313,0.950845134,ESO-VST/OMEGACAM,OCAM_g_SDSS,120,100.281375,9.48025,4.105,3.404,6.708224932,94.659,20.259,34.88255836,,,,,,,,,,,,,,,,,,,,,,
91,2017YF1  ,29-11-2017,4-52-57,100.2816461,9.482887547,5.80739754,97.9549846,2.08215924,20.64451628,27.59491989,0.973435475,ESO-VST/OMEGACAM,OCAM_g_SDSS,120,100.281875,9.482791667,4.105,3.404,6.80663543,94.659,20.258,33.61135769,,,,,,,,,,,,,,,,,,,,,,
92,2018GZ3  ,17-12-2017,1-53-07,24.50249466,-31.81199793,6.50325291,82.88854371,0.3999954,21.61961323,16.48419526,0.725982777,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,24.50245833,-31.81193056,8.792,2.769,6.760198512,99.203,21.604,16.08738986,,,,,,,,,,,,,,,,,,,,,,
93,2018GZ3  ,17-12-2017,1-59-52,24.50282142,-31.81400243,6.4941954,82.25296163,0.32823084,21.78714743,14.61397392,0.702776695,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,24.50275,-31.81401389,8.791,2.769,6.760198512,99.203,21.604,16.61860454,,,,,,,,,,,,,,,,,,,,,,
94,2018GZ3  ,17-12-2017,02-06-1937,24.50319183,-31.81993271,6.34027359,82.82465892,0.85130682,21.71402499,16.56528454,0.679286696,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,24.5030625,-31.81608333,8.79,2.769,6.683021823,99.202,21.605,17.37582289,,,,,,,,,,,,,,,,,,,,,,
95,2018GZ3  ,17-12-2017,2-13-21,24.50341813,-31.81824026,6.11974881,83.66364102,0.44467773,21.68805899,15.87175702,0.752294361,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,24.50335417,-31.81816667,8.79,2.769,6.683021823,99.201,21.605,15.68955707,,,,,,,,,,,,,,,,,,,,,,
96,2018GZ3  ,17-12-2017,2-20-05,24.50370617,-31.8202693,6.39318141,84.46709974,0.31730874,21.69778059,14.63359156,0.774087068,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,24.50364583,-31.82023611,8.789,2.77,6.781798053,99.2,21.605,15.02576815,,,,,,,,,,,,,,,,,,,,,,
97,2017BQ30 ,05-02-2017,6-56-29,158.8708197,2.890192509,7.27118532,170.0694779,0.44721642,22.27026844,3.52564884,1.667317709,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,158.8707708,2.890208333,1.234,0.977,7.168877255,91.308,21.789,5.570597362,,,,,,,,,,,,,,,,,,,,,,
98,2017BQ30 ,05-02-2017,7-00-14,158.8682106,2.889703201,6.91990047,169.9929307,0.70504518,22.23353373,3.496248624,1.827487248,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,158.8683333,2.889736111,1.234,0.978,7.021416873,91.308,21.789,5.189101786,,,,,,,,,,,,,,,,,,,,,,
99,2017BQ30 ,05-02-2017,07-04-2002,158.8658789,2.889215811,7.23446073,167.8430212,0.69796482,22.34860803,3.632505692,1.513262695,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,158.8658958,2.889263889,1.234,0.978,7.168877255,91.307,21.789,6.137702106,,,,,,,,,,,,,,,,,,,,,,
100,2017BQ30 ,05-02-2017,07-07-1947,158.863387,2.888748745,6.91826793,170.6981845,0.31368099,22.59510049,5.325338351,0.860171844,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,158.8634792,2.888791667,1.233,0.978,7.168877255,91.306,21.79,10.78785025,,,,,,,,,,,,,,,,,,,,,,
101,2017BQ30 ,05-02-2017,07-11-1932,158.8610456,2.888263432,7.38050061,168.6418963,0.51517011,22.57713411,4.853217005,0.899499298,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,158.8610625,2.888319444,1.233,0.978,7.168877255,91.305,21.79,10.31618931,,,,,,,,,,,,,,,,,,,,,,
102,2017JQ1  ,30-04-2017,7-56-28,225.288787,-1.451481085,9.00792081,141.4204797,0.36582966,22.8614667,2.528292448,1.088758245,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,225.2887292,-1.451527778,1.523,2.674,7.68002751,92.993,22.372,4.654542064,,,,,,,,,,,,,,,,,,,,,,
103,1997PN   ,28-05-2017,9-16-08,346.1926364,-27.7504519,4.84574454,129.6661359,0.76359843,22.19410984,7.859961572,1.203774479,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,346.1927917,-27.7505,1.539,1.354,6.184679438,91.543,21.999,7.370707089,,,,,,,,,,,,,,,,,,,,,,
104,1997PN   ,28-05-2017,9-19-53,346.1940873,-27.74872888,5.14273578,127.2830326,0.4582935,22.51207569,6.084444101,1.093262899,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,346.1941667,-27.74884722,1.539,1.354,6.107393594,91.543,21.999,8.218470076,,,,,,,,,,,,,,,,,,,,,,
105,1997PN   ,28-05-2017,9-23-38,346.1954446,-27.74710077,5.26955982,125.1525463,1.04622273,22.51446813,5.928842436,1.092542918,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,346.1955,-27.74719444,1.539,1.354,6.184679438,91.543,21.999,8.121117207,,,,,,,,,,,,,,,,,,,,,,
106,1997PN   ,28-05-2017,9-27-22,346.1966842,-27.74550067,6.44532567,123.4987609,0.61438881,22.08572797,6.82417415,1.151817964,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,346.196875,-27.74552778,1.539,1.354,6.184679438,91.543,21.999,7.703186933,,,,,,,,,,,,,,,,,,,,,,
107,1997PN   ,28-05-2017,9-31-07,346.1980214,-27.74380257,5.07949365,123.8406448,0.4273479,22.29146003,7.761231334,1.063248898,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,346.1982083,-27.743875,1.539,1.354,6.107393594,91.543,21.999,8.450465772,,,,,,,,,,,,,,,,,,,,,,
108,2017JL3  ,13-07-2017,09-05-1941,33.67652971,-72.82865185,4.02857637,81.49436551,2.05048578,22.19314769,2.874580959,0.925635047,ESO-VST/OMEGACAM,OCAM_i_SDSS,300,33.676375,-72.82852778,1.491,1.845,3.014983686,92.207,21.942,4.840645509,,,,,,,,,,,,,,,,,,,,,,
109,2012YO1  ,03-07-2017,7-31-17,336.0265435,-34.27356075,10.97903877,46.45215217,2.03978796,22.27928514,6.437553679,0.599750703,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,336.0266875,-34.27368056,1.743,0.883,10.65893746,91.931,22.37,6.099386871,,,,,,,,,,,,,,,,,,,,,,
110,2017MP8  ,09-07-2017,2-43-16,241.3403375,-22.36174222,4.59135075,68.8162419,0.3212643,21.57331295,10.81421481,0.667780503,ESO-VST/OMEGACAM,OCAM_g_SDSS,30,241.3413333,-22.36375,4.77,11.368,4.210721654,101.473,20.696,26.45490929,,,,,,,,,,,,,,,,,,,,,,
111,2017QA3  ,27-08-2017,1-41-54,330.9271055,-27.55188689,4.93812459,101.5573994,0.32338341,22.45338035,8.815863935,0.829451398,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,330.9276458,-27.55083333,3.007,15.018,4.718336377,105.134,22.234,11.29255189,,,,,,,,,,,,,,,,,,,,,,
112,2017QA3  ,27-08-2017,1-49-22,330.9262844,-27.55525218,4.17492684,101.1098048,0.32344914,22.69103061,8.629476721,0.805238313,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,330.9268333,-27.55406944,3.018,15.032,4.850794134,105.15,22.235,11.30406407,,,,,,,,,,,,,,,,,,,,,,
113,2017QA3  ,27-08-2017,1-53-07,330.9259172,-27.55675902,4.21453158,108.6522212,0.51539187,22.57643528,8.354487327,0.915644255,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,330.9264167,-27.55568056,3.024,15.04,4.850794134,105.158,22.235,9.94105018,,,,,,,,,,,,,,,,,,,,,,
114,2017QA3  ,27-08-2017,1-56-51,330.925445,-27.55841793,4.33704789,103.973276,0.53801769,22.41760291,9.727262844,0.884593967,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,330.9260208,-27.55730556,3.03,15.047,4.718336377,105.166,22.235,10.57886475,,,,,,,,,,,,,,,,,,,,,,
115,2017RO2  ,29-08-2017,7-26-03,12.64992999,-33.71403363,12.49153542,28.28652528,0.59259123,21.0170267,10.91307874,0.994480366,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,12.64985417,-33.71394444,2.126,1.953,14.55551824,92.786,20.647,13.16881646,,,,,,,,,,,,,,,,,,,,,,
116,2017RO2  ,29-08-2017,7-33-31,12.64083259,-33.70999375,11.87944149,28.14890081,0.37646238,21.09928851,9.444088122,1.120207679,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,12.64064583,-33.70993056,2.125,1.952,14.59565391,92.785,20.647,11.65865703,,,,,,,,,,,,,,,,,,,,,,
117,2017RO2  ,29-08-2017,7-37-16,12.63599829,-33.70793192,11.647125,28.19531039,0.47115453,21.01066283,10.07355068,1.162260723,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,12.63602083,-33.70791667,2.125,1.952,14.55551824,92.785,20.647,11.26780692,,,,,,,,,,,,,,,,,,,,,,
118,2017RO2  ,29-08-2017,7-41-01,12.63153462,-33.70597229,13.16546448,25.7841321,0.40029066,21.07351487,8.654722652,1.129470043,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,12.63139583,-33.70588889,2.124,1.952,14.55551824,92.784,20.646,11.60561719,,,,,,,,,,,,,,,,,,,,,,
119,2017UO6  ,06-09-2017,08-01-2010,42.58263376,-34.27942695,7.62653031,19.00884888,0.45399396,20.69551532,7.992531662,0.624816529,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,42.58270833,-34.27930556,1.009,1.759,10.000021,91.937,20.679,6.188957411,,,,,,,,,,,,,,,,,,,,,,
120,2017UO6  ,06-09-2017,08-05-1954,42.57936667,-34.27840193,7.69799667,21.49502735,0.39749346,20.53911172,9.334048596,0.612177748,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,42.5795625,-34.27838889,1.009,1.759,9.856110488,91.937,20.679,6.408963919,,,,,,,,,,,,,,,,,,,,,,
121,2017UO6  ,06-09-2017,08-10-1939,42.57618895,-34.27748845,7.68312594,17.56757355,0.25319847,20.71317573,8.010532917,0.608836035,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,42.57641667,-34.27744444,1.009,1.759,10.000021,91.937,20.679,6.351402787,,,,,,,,,,,,,,,,,,,,,,
122,2017UO6  ,06-09-2017,8-15-23,42.5730009,-34.27661989,7.81399374,19.47174148,0.56513646,20.66905963,7.110396021,0.702391592,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,42.57325,-34.27652778,1.009,1.759,10.000021,91.937,20.679,5.505423094,,,,,,,,,,,,,,,,,,,,,,
123,2017UO6  ,06-09-2017,8-20-07,42.56998979,-34.2757378,8.2180224,16.4916734,0.41614776,20.55416092,8.06369099,0.654642864,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,42.57008333,-34.27559722,1.009,1.759,10.0284805,91.937,20.679,5.89021763,,,,,,,,,,,,,,,,,,,,,,
124,2018XZ4  ,10-12-2018,2-33-05,9.461706527,-30.3670048,71.48565186,138.5228228,0.40890969,18.97050167,2.743394706,0.951178792,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,9.461625,-30.36711111,1.528,1.265,80.76022159,91.87,18.678,3.179145883,,,,,,,,,,,,,,,,,,,,,,
125,2019AP9  ,22-12-2018,2-19-49,26.96875187,-28.42400439,12.99068568,127.5243051,0.62141541,20.69207115,4.151177562,0.708497237,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,26.96977083,-28.42211111,14.505,28.84,14.84934758,121.472,20.671,3.702755917,,,,,,,,,,,,,,,,,,,,,,
126,2018DR1  ,17-02-2018,2-13-54,144.6503967,15.82514704,4.80767448,176.4529527,0.29937579,22.03341716,3.386178648,1.333160982,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6507708,15.82506944,1.461,0.904,4.442148868,91.477,20.886,10.54437223,,,,,,,,,,,,,,,,,,,,,,
127,2018DR1  ,17-02-2018,2-17-23,144.6550032,15.82611592,3.57140427,164.9926708,0.59126508,21.552917,7.231115311,1.308227509,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6549792,15.82597222,1.459,0.904,4.463483781,91.474,20.886,10.69397549,,,,,,,,,,,,,,,,,,,,,,
128,2018DR1  ,17-02-2018,2-19-07,144.6571127,15.82658223,3.50431305,157.4341542,1.63445982,21.22745509,11.27101396,1.154373799,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6570625,15.82641667,1.458,0.903,4.463483781,91.473,20.886,12.11925715,,,,,,,,,,,,,,,,,,,,,,
129,2018DR1  ,17-02-2018,2-20-52,144.659192,15.82705448,3.32262861,162.6668632,0.57792651,21.46232973,9.034333712,1.223445305,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6591875,15.826875,1.457,0.903,4.442148869,91.471,20.886,11.48996656,,,,,,,,,,,,,,,,,,,,,,
130,2018DR1  ,17-02-2018,2-22-36,144.6613957,15.8275195,3.35916903,165.7777375,0.69123138,21.3560184,9.95469633,1.21123147,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6612708,15.82731944,1.455,0.903,4.442148869,91.47,20.885,11.61652355,,,,,,,,,,,,,,,,,,,,,,
131,2018DR1  ,17-02-2018,2-24-20,144.6633679,15.82789086,3.82065663,165.5671182,0.8894886,21.19265445,8.234667482,1.496402845,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6633542,15.82777778,1.454,0.903,4.463483781,91.469,20.885,9.357803816,,,,,,,,,,,,,,,,,,,,,,
132,2018DR1  ,17-02-2018,2-26-05,144.6654071,15.82834876,3.4467132,166.5567882,0.6256467,21.34412904,9.327408773,1.273727732,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6654792,15.82823611,1.453,0.902,4.442148869,91.467,20.885,11.04655143,,,,,,,,,,,,,,,,,,,,,,
133,2018DR1  ,17-02-2018,2-27-49,144.6675966,15.82884899,4.05119568,166.7447757,0.55463982,21.25706752,8.50792004,1.28724363,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6675625,15.82868056,1.452,0.902,4.442148869,91.466,20.885,10.93056402,,,,,,,,,,,,,,,,,,,,,,
134,2018DR1  ,17-02-2018,2-29-33,144.6696855,15.82931658,3.17374722,159.1813692,0.57087114,21.2901604,11.30128069,1.19985903,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,144.6696458,15.829125,1.451,0.902,4.442148869,91.465,20.885,11.72662667,,,,,,,,,,,,,,,,,,,,,,
135,2018BM6  ,22-02-2018,7-52-58,219.3985873,-3.51194778,5.61354801,85.91576623,0.3554418,23.532747,3.638136052,0.654266717,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,219.3996458,-3.512097222,41.597,50.118,5.701994343,154.9,23.439,3.904720871,,,,,,,,,,,,,,,,,,,,,,
136,2018BM6  ,22-02-2018,08-06-2027,219.3984643,-3.515422206,4.95860148,94.05927266,0.53592336,23.28328944,5.236181539,0.647560468,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,219.3995208,-3.515680556,41.616,50.125,5.701994343,154.918,23.439,3.94515884,,,,,,,,,,,,,,,,,,,,,,
137,2009UW2  ,13-03-2018,6-17-58,168.8047713,-3.70657077,5.66618409,41.00578726,0.27411006,22.89996466,6.530140969,0.64680133,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,168.8045625,-3.706513889,1.086,0.318,5.710756504,91.094,22.396,10.30640143,,,,,,,,,,,,,,,,,,,,,,
138,2009UW2  ,13-03-2018,6-31-27,168.8019389,-3.704151872,3.49594581,39.79570039,1.54951083,23.2883183,7.397022176,0.647174017,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,168.8018958,-3.704194444,1.086,0.318,5.776049047,91.094,22.396,10.18402926,,,,,,,,,,,,,,,,,,,,,,
139,2015TP23 ,16-03-2018,5-21-59,194.9718074,-3.155807439,3.87137814,23.27062355,1.0829511,23.19879665,6.285723366,0.746845014,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,194.9716042,-3.155875,1.095,0.906,3.686821781,91.144,23.306,5.979843905,,,,,,,,,,,,,,,,,,,,,,
140,2015TP23 ,16-03-2018,5-42-12,194.9685435,-3.154586598,3.38349207,31.15131425,1.27748187,23.66738524,4.726443044,0.738101888,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,194.9684583,-3.154680556,1.095,0.906,3.54685057,91.144,23.306,6.289460119,,,,,,,,,,,,,,,,,,,,,,
141,2015TP23 ,16-03-2018,5-48-56,194.9674902,-3.154175027,3.42704334,17.43562137,1.23136314,23.40047043,6.494657335,0.678119124,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,194.9673958,-3.154263889,1.096,0.906,3.686821781,91.144,23.306,6.585888009,,,,,,,,,,,,,,,,,,,,,,
142,2018SN   ,09-08-2018,9-25-41,35.55613371,-34.56500992,8.70160557,150.2431901,0.33426351,21.13594024,22.64254768,0.616693293,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,35.55604167,-34.56497222,1.605,1.228,10.83376458,91.713,21.729,10.5322759,,,,,,,,,,,,,,,,,,,,,,
143,2019UB1  ,18-10-2019,06-12-1937,34.66617749,-6.449423745,13.61889417,175.6673901,0.59260824,19.11338784,20.23082803,1.004417728,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,34.66652083,-6.449055556,2.019,1.655,13.98581737,92.108,19.117,19.63466251,,,,,,,,,,,,,,,,,,,,,,
144,2019UB1  ,18-10-2019,6-51-35,34.8671895,-6.434312963,10.47231213,176.1917038,0.37541553,19.38074875,5.956139963,0.836733978,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,34.86714583,-6.434166667,1.946,1.664,12.49011708,91.974,19.011,7.020065998,,,,,,,,,,,,,,,,,,,,,,
145,2019UB1  ,18-10-2019,6-53-37,34.87760483,-6.433547943,12.19414098,175.1494936,0.84038493,18.98685502,7.392786516,0.83213348,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,34.877625,-6.433375,1.943,1.665,12.33290387,91.968,19.011,7.148859741,,,,,,,,,,,,,,,,,,,,,,
146,2019UB1  ,18-10-2019,6-55-01,34.88486895,-6.432959522,12.31185039,174.3742244,0.59876376,19.33631144,4.927759899,0.896183485,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,34.88485417,-6.432847222,1.941,1.666,12.48250873,91.964,19.011,6.558375742,,,,,,,,,,,,,,,,,,,,,,
147,2019DH1  ,22-02-2019,7-43-37,160.509864,1.532582747,8.00862216,169.4970732,0.44728047,21.12928256,5.695928913,0.559931134,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,160.5101458,1.532347222,1.289,1,8.129750393,91.361,21.144,5.535531141,,,,,,,,,,,,,,,,,,,,,,
148,2019FA3  ,12-03-2019,09-02-2018,210.9550409,2.998485025,6.50742456,132.0212415,2.92444467,21.7229798,9.699412802,1.121046174,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,210.943125,2.999069444,41.914,11.987,6.303194804,133.081,21.259,15.35278687,,,,,,,,,,,,,,,,,,,,,,
149,2019FA3  ,12-03-2019,09-06-2003,210.9451794,2.983891131,6.17972292,132.2410854,0.44054661,21.82166458,9.531717267,1.096892371,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,210.9416667,2.997430556,41.905,11.984,6.303194804,133.071,21.259,15.6908585,,,,,,,,,,,,,,,,,,,,,,
150,2019FA3  ,12-03-2019,9-13-31,210.9532619,2.993609415,6.67770243,133.3134905,0.53315283,21.89918658,7.617064467,1.182716561,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,210.9387917,2.994208333,41.886,11.977,6.303194804,133.051,21.259,14.55224653,,,,,,,,,,,,,,,,,,,,,,
151,2019FA3  ,12-03-2019,9-17-16,210.9572978,2.991974235,6.115347,131.8570318,0.50166186,21.97230069,8.792982822,1.04590538,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,210.9373333,2.992569444,41.876,11.973,6.303194804,133.041,21.259,16.4557744,,,,,,,,,,,,,,,,,,,,,,
152,2019GU5  ,13-04-2019,7-29-46,212.2851707,-22.33371555,6.79123914,5.923753348,1.77291429,20.66018094,11.45073763,0.856189989,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,212.2851875,-22.33366667,1.068,0.763,7.660471378,91.103,20.315,13.95084654,,,,,,,,,,,,,,,,,,,,,,
153,2013JZ28 ,14-04-2019,6-36-16,201.2626061,3.286203842,3.18626406,14.56624873,0.24732603,21.75159086,38.28567917,0.564957188,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,201.23325,3.309569444,543.625,200.873,4.531025304,129.548,23.154,7.398777901,,,,,,,,,,,,,,,,,,,,,,
154,2020BW14 ,26-06-2019,08-05-1954,315.1527578,-45.02280391,3.76459902,117.9575715,0.81025728,21.51623871,11.09884289,1.931531665,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.1526458,-45.02302778,2.974,1.256,3.412131784,93.204,21.307,14.84802833,,,,,,,,,,,,,,,,,,,,,,
155,2020BW14 ,26-06-2019,08-11-1959,315.1523224,-45.02379353,3.28344954,133.322638,0.47257749,21.84076593,9.285554512,1.963130551,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.1520625,-45.02393056,2.974,1.256,3.494659751,93.204,21.307,14.26403096,,,,,,,,,,,,,,,,,,,,,,
156,2020BW14 ,26-06-2019,8-24-07,315.1514604,-45.0256002,3.95027955,126.7222986,2.66655627,21.33848164,13.53945146,1.777346842,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.1508958,-45.02573611,2.974,1.256,3.494659751,93.204,21.306,15.76954882,,,,,,,,,,,,,,,,,,,,,,
157,2020BW14 ,26-06-2019,9-53-19,315.1426885,-45.0387676,3.16832838,120.2389175,0.72322047,21.886204,9.654165719,1.876580528,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.142375,-45.03888889,2.976,1.256,3.328684395,93.205,21.304,15.70929363,,,,,,,,,,,,,,,,,,,,,,
158,2020BW14 ,26-06-2019,9-59-24,315.1422268,-45.03961676,3.3014478,112.0914004,1.42422063,21.78621504,10.86743227,1.754188872,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.1417917,-45.03977778,2.976,1.256,3.328684395,93.206,21.304,16.80534804,,,,,,,,,,,,,,,,,,,,,,
159,2020BW14 ,27-06-2019,04-03-1949,315.0475697,-45.2022049,3.14555178,113.7203194,0.40743507,21.89032052,21.56629735,0.8429331,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.0471042,-45.20240278,2.995,1.261,3.494659751,93.225,21.278,34.11916129,,,,,,,,,,,,,,,,,,,,,,
160,2020BW14 ,27-06-2019,04-09-1953,315.0469579,-45.20313352,3.0590133,116.2042633,0.63237489,21.82791258,23.00281522,0.860728839,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.0465208,-45.20333333,2.995,1.261,3.578079133,93.225,21.278,32.63472794,,,,,,,,,,,,,,,,,,,,,,
161,2020BW14 ,27-06-2019,4-15-57,315.046325,-45.20405711,2.9792322,116.7040544,0.42002583,21.88362149,21.42292925,0.901492134,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.0458958,-45.20427778,2.996,1.261,3.578079133,93.225,21.278,31.15906444,,,,,,,,,,,,,,,,,,,,,,
162,2020BW14 ,27-06-2019,4-22-02,315.0457268,-45.20501467,3.17491923,114.2865736,0.50917335,21.93521676,18.01371009,0.959336987,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.0452917,-45.20520833,2.996,1.261,3.413230633,93.225,21.278,30.69443132,,,,,,,,,,,,,,,,,,,,,,
163,2013NJ10 ,04-07-2019,5-20-16,271.3537414,-24.60545842,4.8684216,172.4334445,0.37264857,22.25217351,14.29612742,0.806154688,ESO-VST/OMEGACAM,OCAM_g_SDSS,300,271.3535417,-24.60547222,1.522,0.621,5.135193831,91.539,21.102,39.09497416,,,,,,,,,,,,,,,,,,,,,,
164,2013NJ10 ,04-07-2019,5-26-00,271.3520992,-24.60566636,4.80304398,172.3499072,0.36653442,22.50003183,10.64636307,0.873300705,ESO-VST/OMEGACAM,OCAM_g_SDSS,300,271.3518958,-24.60566667,1.522,0.621,5.284195486,91.539,21.102,35.0714255,,,,,,,,,,,,,,,,,,,,,,
165,2013NJ10 ,06-07-2019,1-52-11,270.6198002,-24.69411868,4.73074497,172.0671525,0.26128263,21.35747179,31.41517685,0.608585525,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,270.6191667,-24.69413889,1.518,0.623,5.135193831,91.536,20.738,51.20385957,,,,,,,,,,,,,,,,,,,,,,
